reference_filename	reference_sequence_count	reference_size	assembly_filename	assembly_sequence_count	assembly_size	error_count	substitutions	insertions	deletions	largest_indel	extra_assembly_bases	missing_assembly_bases	assembly_fragmentation_count	missing_reference_sequences	junk_contig_count	redundant_contig_count
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/hybracter_v0.14.0_5.fasta	4	5384745	33	30	1	2	1	0	1	0	0	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/hybracter_v0.14.0_6.fasta	4	5384746	30	30	0	0	0	0	1	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/hybracter_v0.14.0_1.fasta	5	5990199	36	29	5	2	1	0	0	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/hybracter_v0.14.0_2.fasta	5	5990199	15	10	4	1	1	0	0	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/hybracter_v0.14.0_3.fasta	5	5990149	16	9	3	4	1	819	865	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/hybracter_v0.14.0_4.fasta	5	5990197	16	9	4	3	1	0	0	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/hybracter_v0.14.0_5.fasta	5	5990199	24	13	7	4	1	0	0	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/hybracter_v0.14.0_6.fasta	5	5990195	17	10	3	4	1	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/hybracter_v0.14.0_1.fasta	2	2972545	0	0	0	0	0	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/hybracter_v0.14.0_2.fasta	2	2972545	0	0	0	0	0	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/hybracter_v0.14.0_3.fasta	2	2972545	2	0	1	1	1	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/hybracter_v0.14.0_4.fasta	2	2972544	1	0	0	1	1	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/hybracter_v0.14.0_5.fasta	2	2972545	2	0	1	1	1	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/hybracter_v0.14.0_6.fasta	2	2972543	2	0	0	2	1	0	0	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/hybracter_v0.14.0_1.fasta	2	4465805	2	1	0	1	1	0	0	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/hybracter_v0.14.0_2.fasta	2	4465805	2	1	0	1	1	0	0	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/hybracter_v0.14.0_3.fasta	2	4465803	6	1	1	4	1	0	0	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/hybracter_v0.14.0_4.fasta	2	4466472	2	1	0	1	1	3856	3189	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/hybracter_v0.14.0_5.fasta	2	4465805	2	1	0	1	1	0	0	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/hybracter_v0.14.0_6.fasta	2	4465804	3	1	0	2	1	0	0	0	0	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/hybracter_v0.14.0_1.fasta	7	4826401	4	0	3	1	3	0	2088	0	1	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/hybracter_v0.14.0_2.fasta	8	4828489	3	0	3	0	3	0	1	0	0	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/hybracter_v0.14.0_3.fasta	8	4828528	4	0	4	0	4	929	892	0	0	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/hybracter_v0.14.0_4.fasta	7	4826161	5	1	4	0	4	991	3321	0	1	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/hybracter_v0.14.0_5.fasta	8	4828490	5	0	4	1	4	0	0	0	0	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/hybracter_v0.14.0_6.fasta	6	4825163	4	0	4	0	4	0	3328	0	2	0	0
